unixtime,latitudine,longitudine,altitudine,precisione_orizzontale,precisione_verticale,geometry,delta_tempo,distanza_orizzontale,distanza_verticale,distanza_reale,pendenza,velocita,delta_velocita,accelerazione,pendenza_radianti,accelerazione_max,distanza_percorsa,time_from_start,stato,time_from_start_minuti,velocita_kmh,impianti
1734869302.0,46.502202,12.931257,1706.874178,7.7,3.8,POINT (1439500.9445569545 5861195.9407245),4.0,17.245588031598096,-0.5666579999999612,17.25489518497761,-1.8819558299080497,4.313723796244402,1.7229945242335467,0.4307486310583867,-0.03284632560899784,-0.3221645173967387,23709.046353944676,10255.0,Discesa,170.91666666666666,15.52940566647985,Giro d'Italia-Valvan
1734869305.0,46.50226,12.931118,1706.138568,6.8,3.8,POINT (1439485.4711477342 5861205.320767341),3.0,18.09451841288067,-0.7356099999999515,18.109464891767995,-2.328006252899041,6.036488297255999,1.7227645010115964,0.5742548336705321,-0.040631374120104057,-0.3984841155234713,23721.512622789345,10258.0,Discesa,170.96666666666667,21.731357870121595,Giro d'Italia-Valvan
1734869307.0,46.502329,12.93101,1704.527412,2.8,3.8,POINT (1439473.4486427286 5861216.479796856),2.0,16.40318768762742,-1.6111560000001646,16.482123345366283,-5.609719480841626,8.241061672683141,2.2045733754271426,1.1022866877135713,-0.09790807505395334,-0.9589444289922202,23732.80664756968,10260.0,Discesa,171.0,29.66782202165931,Giro d'Italia-Valvan
1734869309.0,46.502404,12.930892,1704.600094,2.8,3.8,POINT (1439460.3129428148 5861228.609192826),2.0,17.879285747112725,0.07268199999998615,17.879433478162337,0.23291472412929498,8.939716739081168,0.6986550663980271,0.34932753319901355,0.00406512881243048,0.039878803815049504,23745.117089194617,10262.0,Discesa,171.03333333333333,32.182980260692204,Giro d'Italia-Valvan
1734869311.0,46.5025,12.930778,1703.542272,4.5,3.8,POINT (1439447.6225208645 5861244.134844084),2.0,20.052248160112843,-1.0578219999999874,20.08013056875958,-3.0197415478283016,10.04006528437979,1.1003485452986208,0.5501742726493104,-0.05270443256887369,-0.5167911525508032,23758.917532381885,10264.0,Discesa,171.06666666666666,36.144235023767244,Giro d'Italia-Valvan
1734869313.0,46.502598,12.930651,1699.349494,2.6,3.8,POINT (1439433.4849455336 5861259.98397469),2.0,21.238313896883398,-4.192777999999862,21.648218507300623,-11.167491094835933,10.824109253650311,0.7840439692705221,0.39202198463526106,-0.19490948879203335,-1.8999786133037975,23773.536214427575,10266.0,Discesa,171.1,38.966793313141125,Giro d'Italia-Valvan
1734869315.0,46.502665,12.930503,1699.947163,13.0,3.8,POINT (1439417.0096608961 5861270.819621238),2.0,19.719184567415518,0.5976689999999962,19.72823986668246,1.73604699554099,9.86411993334123,-0.9599893203090808,-0.4799946601545404,0.030299736041545594,0.29719493120629414,23787.12026531281,10268.0,Discesa,171.13333333333333,35.51083176002843,Giro d'Italia-Valvan
1734869317.0,46.502732,12.930367,1695.79601,3.1,3.9,POINT (1439401.8702101484 5861281.655281143),2.0,18.617585625632262,-4.151153000000022,19.074762534751468,-12.569600022577722,9.537381267375734,-0.3267386659654967,-0.16336933298274836,-0.21938090605273483,-2.1349052632141094,23799.943934221177,10270.0,Discesa,171.16666666666666,34.334572562552644,Giro d'Italia-Valvan
1734869319.0,46.502794,12.930239,1695.716206,2.8,3.9,POINT (1439387.621315327 5861291.682321606),2.0,17.423333322771445,-0.07980399999996735,17.423516084729105,-0.26242971587511016,8.711758042364552,-0.8256232250111815,-0.41281161250559073,-0.004580262597093905,-0.04493221897305991,23811.945284250727,10272.0,Discesa,171.2,31.36232895251239,Giro d'Italia-Valvan
1734869321.0,46.50287,12.930119,1697.529802,6.3,3.9,POINT (1439374.2629764318 5861303.973548096),2.0,18.152671061193335,1.8135959999999614,18.243042430118443,5.7053707546389,9.121521215059222,0.4097631726946691,0.20488158634733455,0.09957750471544236,0.9752417574070246,23824.443924068706,10274.0,Discesa,171.23333333333332,32.837476374213196,Giro d'Italia-Valvan
