unixtime,latitudine,longitudine,altitudine,precisione_orizzontale,precisione_verticale,geometry,delta_tempo,distanza_orizzontale,distanza_verticale,distanza_reale,pendenza,velocita,delta_velocita,accelerazione,pendenza_radianti,accelerazione_max
1734874226.0,46.503051,12.941823,1509.386927,2.9,10.2,POINT (1440677.146296676 5861333.24614353),2.0,22.95472026977398,-1.5305040000000645,23.00568680038891,-3.8145452808469327,11.502843400194456,0.9013081853420086,0.4506540926710043,-0.06657637461719076,-0.6526318631681458
1734874228.0,46.503174,12.941941,1507.085743,3.2,10.2,POINT (1440690.2819965896 5861353.138625881),2.0,23.83815148639704,-2.301183999999921,23.948964781181445,-5.5138861247160715,11.974482390590723,0.4716389903962668,0.2358194951981334,-0.09623546745632613,-0.9426133967067274
1734874230.0,46.503307,12.942077,1503.925744,3.4,10.3,POINT (1440705.4214473376 5861374.648433859),2.0,26.3035132298646,-3.159999000000198,26.492648072883622,-6.850455188879405,13.246324036441811,1.2718416458510884,0.6359208229255442,-0.11956299830627565,-1.1701204841705264
1734874232.0,46.503463,12.942214,1500.881866,3.5,10.6,POINT (1440720.6722175763 5861399.878050129),2.0,29.480833264650048,-3.0438779999999497,29.63755595957569,-5.89486612164559,14.818777979787845,1.5724539433460336,0.7862269716730168,-0.10288482278698412,-1.007520431871232
1734874234.0,46.503608,12.942343,1496.71984,3.1,10.6,POINT (1440735.0324318886 5861423.328719912),2.0,27.498175728130725,-4.162025999999969,27.811366899162536,-8.606758579599633,13.905683449581268,-0.9130945302065765,-0.45654726510328825,-0.15021627513828406,-1.468085880425718
1734874236.0,46.503729,12.942471,1495.447308,3.4,10.5,POINT (1440749.28132671 5861442.8979474),2.0,24.207140849332735,-1.2725319999999556,24.240565294366743,-3.0091807606291123,12.120282647183371,-1.7854008023978967,-0.8927004011989483,-0.052520112060645364,-0.5149854703636226
1734874238.0,46.503853,12.94258,1493.508788,3.4,10.4,POINT (1440761.4151512065 5861462.952407533),2.0,23.439519366995558,-1.9385199999999259,23.51954353184091,-4.727776927890468,11.759771765920455,-0.3605108812629165,-0.18025544063145826,-0.0825152736915112,-0.8085565595375647
1734874240.0,46.50399,12.94266,1490.457985,3.0,10.3,POINT (1440770.3207104702 5861485.109404578),2.0,23.879729978197776,-3.050803000000087,24.073821939535215,-7.280498246396098,12.036910969767607,0.2771392038471525,0.13856960192357626,-0.1270686655852853,-1.2431917750812556
1734874242.0,46.504102,12.942718,1489.946919,3.1,10.4,POINT (1440776.777240936 5861503.223195471),2.0,19.230085963673357,-0.511066000000028,19.23687590609824,-1.5223558464579592,9.61843795304912,-2.4184730167184867,-1.2092365083592433,-0.026570121907676644,-0.2606222280828322
1734874244.0,46.504202,12.942767,1489.339171,3.1,10.6,POINT (1440782.2318959848 5861519.396254588),2.0,17.06813120719679,-0.6077479999999014,17.078947875603717,-2.039279509981244,8.539473937801858,-1.0789640152472622,-0.5394820076236311,-0.03559214181762928,-0.3490851967828425
1734874246.0,46.504299,12.942817,1489.091467,2.9,10.6,POINT (1440787.7978705247 5861535.084150355),2.0,16.646024936503945,-0.2477040000001125,16.647867835201215,-0.8525366506853227,8.323933917600607,-0.21554002020125118,-0.10777001010062559,-0.014879571548383652,-0.14596321066791634
1734874249.0,46.50439,12.942852,1488.462218,2.6,10.5,POINT (1440791.6940527023 5861549.801686265),3.0,15.224522941671113,-0.6292490000000726,15.237521225759496,-2.366760749424887,5.079173741919832,-3.244760175680775,-1.0815867252269251,-0.04130776768443276,-0.4051139682460413
1734874253.0,46.504507,12.942845,1487.501572,2.9,10.5,POINT (1440790.9148162669 5861568.724268635),4.0,18.938620144572226,-0.960645999999997,18.962968483803188,-2.9037927781023467,4.740742120950797,-0.33843162096903523,-0.08460790524225881,-0.05068074477351905,-0.4969652967597992
